uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q133285470,Nicolas Rudancic,1989,education,http://www.wikidata.org/entity/Q125901605,Q125901605,1,educational facility,1981-2000
http://www.wikidata.org/entity/Q133285470,Nicolas Rudancic,1989,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q133285470,Nicolas Rudancic,1989,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133285470,Nicolas Rudancic,1989,education,http://www.wikidata.org/entity/Q18380072,Lycée La Martinière Duchère,1,lycée,1981-2000
http://www.wikidata.org/entity/Q133288743,Maxence Rissoan,1986,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q133288743,Maxence Rissoan,1986,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133288743,Maxence Rissoan,1986,education,http://www.wikidata.org/entity/Q125900876,Q125900876,1,educational facility,1981-2000
http://www.wikidata.org/entity/Q133288743,Maxence Rissoan,1986,education,http://www.wikidata.org/entity/Q2376939,ESDES,2,grande école | business school,1981-2000
http://www.wikidata.org/entity/Q133308508,Hege Skryseth,1967,education,http://www.wikidata.org/entity/Q604629,BI Norwegian Business School,2,business school | nonprofit organization,1961-1980
http://www.wikidata.org/entity/Q133308508,Hege Skryseth,1967,education,http://www.wikidata.org/entity/Q7061250,Norwegian School of Information Technology,1,college,1961-1980
http://www.wikidata.org/entity/Q133308508,Hege Skryseth,1967,education,http://www.wikidata.org/entity/Q520458,Norwegian School of Economics,1,business school,1961-1980
http://www.wikidata.org/entity/Q133456949,Xavier Anthonioz,1975,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q133456949,Xavier Anthonioz,1975,education,http://www.wikidata.org/entity/Q3151896,"IAE Lyon, University of Lyon School Management",1,higher education institution,1961-1980
http://www.wikidata.org/entity/Q133456949,Xavier Anthonioz,1975,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q133456949,Xavier Anthonioz,1975,education,http://www.wikidata.org/entity/Q20971034,Q20971034,1,lycée,1961-1980
http://www.wikidata.org/entity/Q133460719,Grégoire Giraud,1952,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1941-1960
http://www.wikidata.org/entity/Q133460719,Grégoire Giraud,1952,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1941-1960
http://www.wikidata.org/entity/Q133461845,Bertrand de La Tour d'Artaise,1985,education,http://www.wikidata.org/entity/Q4027,Jean Moulin University - Lyon 3,1,university in France,1981-2000
