,personUri,personLabel,birthYear,gender,countries,continents,occupations
164,http://www.wikidata.org/entity/Q67173589,John Lansing,1957,male,United States,North America,chief executive officer
165,http://www.wikidata.org/entity/Q33412654,Sylvie Grumbach,1947,female,France,Europe,chief executive officer
166,http://www.wikidata.org/entity/Q124647267,Benjamin Lavorel,1977,male,France,Europe,"businessperson, chief executive officer"
167,http://www.wikidata.org/entity/Q75440485,Thomas Fisher,1944,male,United States,North America,"businessperson, chief executive officer"
168,http://www.wikidata.org/entity/Q33269729,Christophe Plonévez,1958,male,France,Europe,"chief executive officer, businessperson"
169,http://www.wikidata.org/entity/Q16241801,Frits van Paasschen,1961,male,United States,North America,chief executive officer
170,http://www.wikidata.org/entity/Q116213603,Joshua Oduyemi,1983,male,"Nigeria, United States","Africa, North America","businessperson, industrialist, business executive, investor, chief executive officer"
171,http://www.wikidata.org/entity/Q109608101,Boyd Klap,1927,male,"New Zealand, Kingdom of the Netherlands","Oceania, Europe",chief executive officer
172,http://www.wikidata.org/entity/Q62560777,Rédha Kouninef,1972,male,"Switzerland, Algeria","Europe, Africa","chief executive officer, businessperson"
173,http://www.wikidata.org/entity/Q1827902,Brian Schatz,1972,male,United States,North America,"chief executive officer, politician, teacher"
174,http://www.wikidata.org/entity/Q109864380,Andrejs Svilāns,1968,male,Latvia,Europe,"local politician, chief executive officer, author, politician"
175,http://www.wikidata.org/entity/Q12407743,Q12407743,1938,male,Israel,Asia,"manager, educator, chief executive officer"
176,http://www.wikidata.org/entity/Q131539109,John Morris,1948,male,United States,North America,"businessperson, chief executive officer"
177,http://www.wikidata.org/entity/Q99283628,Boaz Levy,1961,male,Israel,Asia,chief executive officer
178,http://www.wikidata.org/entity/Q12329991,Olav Grue,1928,male,Kingdom of Denmark,Europe,"banker, chief executive officer"
179,http://www.wikidata.org/entity/Q5115694,Chuck Rozanski,1955,male,Germany,Europe,chief executive officer
180,http://www.wikidata.org/entity/Q105964680,Paul Oord,1965,male,Norway,Europe,chief executive officer
181,http://www.wikidata.org/entity/Q6829634,Michael D. Dingman,1931,male,"The Bahamas, United States",North America,chief executive officer
182,http://www.wikidata.org/entity/Q16886254,Myron E. Ullman,1946,male,United States,North America,"chief executive officer, entrepreneur"
183,http://www.wikidata.org/entity/Q2906650,Jacob Gary,1901,male,Israel,Asia,"manager, chief executive officer, entrepreneur, politician, lawyer"
184,http://www.wikidata.org/entity/Q6759278,Dan Propper,1941,male,Israel,Asia,"industrialist, chief executive officer"
185,http://www.wikidata.org/entity/Q21559001,Izrail Levin,1908,male,"Soviet Union, Russia, Russian Empire","Europe, Asia, North America, Eurasia","non-fiction writer, industrialist, chief executive officer, military officer"
186,http://www.wikidata.org/entity/Q67932616,Jacob Kam,1961,male,People's Republic of China,Asia,"chief executive officer, engineer"
187,http://www.wikidata.org/entity/Q113969,Peter Löscher,1957,male,Austria,Europe,"chief executive officer, entrepreneur"
188,http://www.wikidata.org/entity/Q50381202,Kaija Ward,1947,female,Finland,Europe,"chief executive officer, economist, entrepreneur, businessperson"
189,http://www.wikidata.org/entity/Q6640279,Avraham Bar David,1938,male,Israel,Asia,"manager, chief executive officer, military officer"
190,http://www.wikidata.org/entity/Q11129730,Benjamin Fragner,1945,male,Czechoslovakia,Europe,"editing staff, chief executive officer, architect, teacher"
191,http://www.wikidata.org/entity/Q126934488,Hagar Peretz Dayan,1978,female,Israel,Asia,"chief executive officer, entrepreneur"
