uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q3638496,Doug Morris,1938,education,http://www.wikidata.org/entity/Q49088,Columbia University,5,colonial colleges | organization | private not-for-profit educational institution | private university | research university,1911-1940,"['colonial colleges', 'organization', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,education,http://www.wikidata.org/entity/Q1938341,Ural State Technical University,2,architectural landmark | public university,1911-1940,"['architectural landmark', 'public university']"
http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,membership,http://www.wikidata.org/entity/Q4146579,3rd State Duma of the Russian Federation,1,legislative term,1911-1940,['legislative term']
http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,membership,http://www.wikidata.org/entity/Q4146580,2nd State Duma of the Russian Federation,1,legislative term,1911-1940,['legislative term']
http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,membership,http://www.wikidata.org/entity/Q842008,Politburo of the Central Committee of the Communist Party of the Soviet Union,2,cpsu body | politburo,1911-1940,"['cpsu body', 'politburo']"
http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,education,http://www.wikidata.org/entity/Q4286179,Mechanical engineering institute of the Donbass state mechanical engineering academy,1,academic institution,1911-1940,['academic institution']
http://www.wikidata.org/entity/Q366524,Nikolai Ryzhkov,1929,membership,http://www.wikidata.org/entity/Q186473,Federation Council,1,upper house,1911-1940,['upper house']
http://www.wikidata.org/entity/Q36804,Eazy-E,1964,education,http://www.wikidata.org/entity/Q8012581,William Howard Taft Charter High School,1,charter high school,1941-1970,['charter high school']
http://www.wikidata.org/entity/Q36804,Eazy-E,1964,education,http://www.wikidata.org/entity/Q6752537,Manuel Dominguez High School,2,high school | public school,1941-1970,"['high school', 'public school']"
http://www.wikidata.org/entity/Q36804,Eazy-E,1964,education,http://www.wikidata.org/entity/Q5157165,Compton High School,2,high school | public school,1941-1970,"['high school', 'public school']"
http://www.wikidata.org/entity/Q36804,Eazy-E,1964,membership,http://www.wikidata.org/entity/Q216856,N.W.A.,1,musical group,1941-1970,['musical group']
http://www.wikidata.org/entity/Q36804,Eazy-E,1964,education,http://www.wikidata.org/entity/Q66166508,Truro Learning Academy,2,academy school | primary school,1941-1970,"['academy school', 'primary school']"
http://www.wikidata.org/entity/Q36804,Eazy-E,1964,membership,http://www.wikidata.org/entity/Q486682,Crips,1,gang,1941-1970,['gang']
http://www.wikidata.org/entity/Q36964657,Randa Ayoubi,1962,education,http://www.wikidata.org/entity/Q49126,Harvard Business School,4,business school | organization,1941-1970,"['business school', 'organization']"
http://www.wikidata.org/entity/Q37321267,Krish O'Mara Vignarajah,1979,education,http://www.wikidata.org/entity/Q34433,University of Oxford,6,collegiate university | educational organization | exempt charity | higher education institution | organization | public university,1971-2000,"['collegiate university', 'educational organization', 'exempt charity', 'higher education institution', 'organization', 'public university']"
http://www.wikidata.org/entity/Q3756593,Gabriele Galateri di Genola,1947,education,http://www.wikidata.org/entity/Q499911,University of Turin,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q3756593,Gabriele Galateri di Genola,1947,education,http://www.wikidata.org/entity/Q907481,Columbia Business School,2,business school | publishing company,1941-1970,"['business school', 'publishing company']"
http://www.wikidata.org/entity/Q37828815,Thomas L. Andresen,1972,employment,http://www.wikidata.org/entity/Q1269766,Technical University of Denmark,2,institute of technology | public university,1971-2000,"['institute of technology', 'public university']"
http://www.wikidata.org/entity/Q37828815,Thomas L. Andresen,1972,education,http://www.wikidata.org/entity/Q1269766,Technical University of Denmark,2,institute of technology | public university,1971-2000,"['institute of technology', 'public university']"
http://www.wikidata.org/entity/Q37913419,Frantz Yvelin,1976,employment,http://www.wikidata.org/entity/Q174335,French Civil Aviation University,1,school of the french public service,1971-2000,['school of the french public service']
http://www.wikidata.org/entity/Q380570,Jon Corzine,1947,membership,http://www.wikidata.org/entity/Q1938003,Phi Beta Kappa Society,4,academic publisher | honor society | learned society | organization,1941-1970,"['academic publisher', 'honor society', 'learned society', 'organization']"
http://www.wikidata.org/entity/Q380570,Jon Corzine,1947,education,http://www.wikidata.org/entity/Q2963304,Booth School of Business,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q380570,Jon Corzine,1947,education,http://www.wikidata.org/entity/Q131252,University of Chicago,3,private not-for-profit educational institution | private university | research university,1941-1970,"['private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q380570,Jon Corzine,1947,education,http://www.wikidata.org/entity/Q7690279,Taylorville High School,1,high school,1941-1970,['high school']
http://www.wikidata.org/entity/Q380570,Jon Corzine,1947,education,http://www.wikidata.org/entity/Q457281,University of Illinois Urbana–Champaign,3,land-grant university | public educational institution of the united states | public research university,1941-1970,"['land-grant university', 'public educational institution of the united states', 'public research university']"
http://www.wikidata.org/entity/Q380602,Kwok Ping Sheung Walter,1950,education,http://www.wikidata.org/entity/Q189022,Imperial College London,4,building | educational organization | public research university | university,1941-1970,"['building', 'educational organization', 'public research university', 'university']"
http://www.wikidata.org/entity/Q381748,Anil Ambani,1959,education,http://www.wikidata.org/entity/Q6416599,Kishinchand Chellaram College,1,college,1941-1970,['college']
http://www.wikidata.org/entity/Q381748,Anil Ambani,1959,education,http://www.wikidata.org/entity/Q406402,University of Mumbai,1,university,1941-1970,['university']
http://www.wikidata.org/entity/Q381748,Anil Ambani,1959,education,http://www.wikidata.org/entity/Q6122154,Warwick Business School,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q381748,Anil Ambani,1959,education,http://www.wikidata.org/entity/Q1329269,The Wharton School,2,business school | private university,1941-1970,"['business school', 'private university']"
http://www.wikidata.org/entity/Q381748,Anil Ambani,1959,education,http://www.wikidata.org/entity/Q5762136,Hill Grange High School,1,secondary school,1941-1970,['secondary school']
http://www.wikidata.org/entity/Q3857943,Millard Drexler,1944,education,http://www.wikidata.org/entity/Q7603619,State University of New York at Buffalo School of Management,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q3857943,Millard Drexler,1944,education,http://www.wikidata.org/entity/Q751612,The Bronx High School of Science,2,high school | science secondary school,1941-1970,"['high school', 'science secondary school']"
http://www.wikidata.org/entity/Q3857943,Millard Drexler,1944,education,http://www.wikidata.org/entity/Q681025,University at Buffalo,3,open-access publisher | public educational institution of the united states | public research university,1941-1970,"['open-access publisher', 'public educational institution of the united states', 'public research university']"
http://www.wikidata.org/entity/Q3857943,Millard Drexler,1944,education,http://www.wikidata.org/entity/Q49110,Boston University,3,open-access publisher | private not-for-profit educational institution | university,1941-1970,"['open-access publisher', 'private not-for-profit educational institution', 'university']"
http://www.wikidata.org/entity/Q3857943,Millard Drexler,1944,education,http://www.wikidata.org/entity/Q4948184,Questrom School of Business,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q38589106,Vasant Narasimhan,1976,education,http://www.wikidata.org/entity/Q49121,Harvard Medical School,1,medical school,1971-2000,['medical school']
http://www.wikidata.org/entity/Q38589106,Vasant Narasimhan,1976,education,http://www.wikidata.org/entity/Q49127,John F. Kennedy School of Government,2,private school | public policy school,1971-2000,"['private school', 'public policy school']"
