p,propLabel,eff
http://www.wikidata.org/prop/direct/P1581,blog officiel,2
http://www.wikidata.org/prop/direct/P1801,image de plaque commémorative,2
http://www.wikidata.org/prop/direct/P1808,identifiant Sénat (France),2
http://www.wikidata.org/prop/direct/P1819,identifiant Genealogics,2
http://www.wikidata.org/prop/direct/P2038,identifiant ResearchGate d'un auteur enregistré,2
http://www.wikidata.org/prop/direct/P2037,identifiant GitHub,2
http://www.wikidata.org/prop/direct/P2048,hauteur,2
http://www.wikidata.org/prop/direct/P2387,identifiant Elonet d'un acteur,2
http://www.wikidata.org/prop/direct/P2446,identifiant Transfermarkt d'un joueur,2
http://www.wikidata.org/prop/direct/P2447,identifiant Transfermarkt d'un manager,2
http://www.wikidata.org/prop/direct/P2163,identifiant FAST,2
http://www.wikidata.org/prop/direct/P2538,identifiant Nationalmuseum d'un artiste,2
http://www.wikidata.org/prop/direct/P2561,nom,2
http://www.wikidata.org/prop/direct/P2626,identifiant Det Danske Filminstitut d'une personne,2
http://www.wikidata.org/prop/direct/P1953,identifiant Discogs d'un artiste,2
http://www.wikidata.org/prop/direct/P1977,identifiant Les Archives du spectacle,2
http://www.wikidata.org/prop/direct/P3217,identifiant Dictionnaire biographique suédois,2
http://www.wikidata.org/prop/direct/P3762,identifiant openMLOL d'auteur,2
http://www.wikidata.org/prop/direct/P3836,identifiant Pinterest,2
http://www.wikidata.org/prop/direct/P4126,"identifiant Conseil économique, environnemental et social",2
http://www.wikidata.org/prop/direct/P4123,identifiant Assemblée nationale (France),2
http://www.wikidata.org/prop/direct/P4016,nom d'utilisateur SlideShare,2
http://www.wikidata.org/prop/direct/P4411,identifiant Quora d'un utilisateur,2
http://www.wikidata.org/prop/direct/P4619,identifiant Bibliothèque nationale du Brésil,2
http://www.wikidata.org/prop/direct/P4703,identifiant Haute Autorité pour la transparence de la vie publique,2
http://www.wikidata.org/prop/direct/P5019,identifiant Brockhaus Enzyklopädie,2
http://www.wikidata.org/prop/direct/P5034,identifiant KRNLK,2
http://www.wikidata.org/prop/direct/P5361,identifiant British National Bibliography,2
http://www.wikidata.org/prop/direct/P6178,identifiant Dimensions d'un auteur,2
http://www.wikidata.org/prop/direct/P7349,identifiant de personne dans Gazetteer for Scotland,2
http://www.wikidata.org/prop/direct/P7704,Europeana Entity,2
http://www.wikidata.org/prop/direct/P8094,identifiant GeneaStar,2
http://www.wikidata.org/prop/direct/P7929,identifiant Roglo,2
http://www.wikidata.org/prop/direct/P8214,curriculum vitae,2
http://www.wikidata.org/prop/direct/P8446,identifiant Gateway to Research d'une personne,2
http://www.wikidata.org/prop/direct/P10302,identifiant Film.ru d'une personne,2
http://www.wikidata.org/prop/direct/P10387,identifiant Databazeknih.cz d'un auteur,2
http://www.wikidata.org/prop/direct/P11182,identifiant Université de Macédoine,2
http://www.wikidata.org/prop/direct/P11892,identifiant Threads d'un profil,2
http://www.wikidata.org/prop/direct/P12007,identifiant Substack d'un profil,2
http://www.wikidata.org/prop/direct/P12361,identifiant Bluesky,2
